Generalized Born Decomposition Energies

Complex:

Total Energy Decomposition:
Frame #,Residue,Internal,van der Waals,Electrostatic,Polar Solvation,Non-Polar Solv.,TOTAL
1,340,76.189,-8.873,-64.2,-1.852,0.0,1.2639999999999854
1,346,-197.049,-11.458,-22.725,51.586,0.0162432,-179.62975680000002
1,349,146.142,-9.234,-156.222,12.203,0.7916327999999999,-6.319367200000022
1,408,-196.822,-9.675,5.828,18.634,0.5842223999999999,-181.45077760000004
1,409,96.911,-12.723,-102.556,-1.644,0.0009576000000000001,-20.011042399999994
1,482,-174.281,-13.369,-1.143,24.594,0.1417176,-164.05728240000002
1,483,-171.224,-8.315,-46.8,57.101,0.0371088,-169.2008912
1,583,83.277,-15.856,-100.609,-106.818,0.0009576000000000001,-140.00504239999998
2,340,80.8,-8.815,-64.356,-3.671,0.0,3.958000000000005
2,346,-187.136,-12.324,-32.849,57.566,0.039276,-174.703724
2,349,144.827,-6.873,-176.806,29.641,0.798372,-8.412628000000005
2,408,-194.927,-9.622,15.897,18.089,0.5145408,-170.0484592
2,409,95.858,-13.17,-99.863,-2.154,0.0065304000000000004,-19.322469599999998
2,482,-170.483,-13.958,-5.345,25.923,0.14083199999999998,-163.722168
2,483,-172.609,-7.77,-51.383,56.855,0.018957599999999998,-174.88804240000005
2,583,93.512,-16.62,-103.542,-106.905,0.0094464,-133.5455536
3,340,80.344,-9.211,-68.758,-3.352,0.0,-0.9769999999999999
3,346,-192.963,-13.227,-36.459,62.884,0.0793656,-179.6856344
3,349,140.715,-7.883,-170.569,22.373,0.7804871999999999,-14.583512799999994
3,408,-190.767,-9.652,3.919,18.056,0.5390856,-177.90491439999997
3,409,95.112,-15.266,-104.873,-2.008,0.010022399999999999,-27.024977600000014
3,482,-168.851,-15.016,-4.924,24.18,0.09974879999999998,-164.5112512
3,483,-172.572,-10.846,-49.753,62.654,0.010511999999999999,-170.506488
3,583,89.117,-16.14,-90.278,-112.453,0.0340056,-129.71999440000002
4,340,79.131,-9.323,-64.98,-5.11,0.0,-0.2820000000000116
4,346,-191.855,-10.495,-36.216,63.128,0.0418896,-175.3961104
4,349,142.266,-7.474,-178.29,30.669,0.9511632,-11.87783679999999
4,408,-189.18,-9.899,12.586,11.841,0.3843216,-174.2676784
4,409,96.51,-15.274,-102.613,-1.912,0.036792,-23.252207999999996
4,482,-169.108,-15.642,-19.655,39.292,0.13698,-164.97602
4,483,-171.621,-8.545,-53.939,63.764,0.0114696,-170.32953039999998
4,583,100.367,-13.008,-100.238,-109.776,0.0140472,-122.6409528
5,340,82.211,-9.316,-64.907,-3.521,0.0,4.467
5,346,-196.828,-10.818,-42.156,67.07,0.1440072,-182.58799280000002
5,349,138.528,-7.193,-186.686,37.91,0.9745056000000001,-16.46649440000003
5,408,-199.828,-10.753,17.722,14.932,0.5322096000000001,-177.39479040000003
5,409,91.37,-13.819,-102.469,-2.25,0.0157608,-27.152239199999993
5,482,-175.145,-14.22,-14.866,38.235,0.1110528,-165.88494719999997
5,483,-167.872,-6.673,-59.75,66.997,0.0289152,-167.2690848
5,583,91.823,-14.665,-93.875,-117.987,0.028987199999999998,-134.67501280000002
6,340,78.561,-8.802,-65.663,-2.465,0.0,1.631000000000018
6,346,-190.728,-11.212,-42.111,59.794,0.0929304,-184.1640696
6,349,140.525,-5.341,-178.69,30.304,1.1244528,-12.077547200000001
6,408,-198.002,-10.79,10.334,13.288,0.6030936,-184.5669064
6,409,92.262,-13.203,-99.476,-2.698,0.0132192,-23.1017808
6,482,-174.365,-14.115,-6.372,29.039,0.1663416,-165.64665840000004
6,483,-173.597,-9.726,-52.784,60.597,0.0151344,-175.4948656
6,583,84.9,-15.728,-93.153,-108.265,0.0264384,-132.2195616
7,340,82.371,-9.963,-67.913,-4.769,0.0038232,-0.27017679999999555
7,346,-193.916,-14.222,-33.508,64.616,0.0352224,-176.99477760000002
7,349,140.78,-6.942,-162.791,16.174,0.9241920000000001,-11.854808000000004
7,408,-197.711,-9.461,11.65,13.852,0.6557544,-181.0142456
7,409,92.135,-12.025,-102.967,-2.49,0.025056,-25.321944000000002
7,482,-167.532,-15.041,-12.729,35.616,0.10262879999999999,-159.58337120000004
7,483,-172.786,-8.285,-56.055,63.492,0.0229392,-173.61106080000002
7,583,99.935,-14.093,-98.757,-112.373,0.0275544,-125.26044560000001
8,340,81.596,-10.006,-68.529,-3.977,0.0,-0.9159999999999928
8,346,-188.98,-11.48,-40.864,61.115,0.0679032,-180.14109679999999
8,349,145.432,-6.473,-180.326,31.418,0.9228888,-9.02611120000002
8,408,-197.49,-13.209,11.846,15.0,0.488448,-183.364552
8,409,93.494,-13.646,-104.177,-2.478,0.0021455999999999997,-26.80485440000001
8,482,-178.346,-13.53,5.682,23.758,0.0762912,-162.35970880000002
8,483,-173.335,-9.506,-53.035,64.724,0.0151344,-171.1368656
8,583,80.948,-18.651,-91.044,-113.847,0.0336888,-142.5603112
9,340,84.144,-8.941,-71.53,-4.354,0.0009576000000000001,-0.6800423999999983
9,346,-191.96,-12.666,-33.379,58.814,0.10886399999999999,-179.082136
9,349,139.692,-7.618,-157.353,12.345,1.0340928,-11.899907199999996
9,408,-200.098,-12.236,20.936,14.383,0.5141736,-176.5008264
9,409,91.559,-14.583,-99.789,-3.42,0.008604,-26.224396000000006
9,482,-174.457,-11.603,-18.557,36.133,0.15560639999999998,-168.32839359999997
9,483,-172.664,-10.099,-55.304,62.116,0.032335199999999995,-175.91866479999996
9,583,89.89,-16.119,-95.006,-106.987,0.0107424,-128.21125759999998
10,340,84.776,-9.81,-66.596,-4.814,0.0,3.5559999999999903
10,346,-188.332,-11.112,-47.641,69.597,0.1309896,-177.3570104
10,349,143.377,-8.966,-204.384,52.192,0.8928504,-16.888149599999984
10,408,-198.171,-11.011,21.368,13.463,0.4287744,-173.9222256
10,409,97.852,-10.832,-102.126,-2.465,0.0226152,-17.548384799999994
10,482,-173.311,-13.512,-22.126,39.763,0.2302632,-168.9557368
10,483,-171.633,-10.386,-56.457,68.454,0.0218232,-170.0001768
10,583,91.874,-13.861,-89.315,-121.432,0.0131256,-132.7208744
11,340,82.04,-8.852,-70.574,-5.064,0.001908,-2.448091999999996
11,346,-190.366,-11.911,-38.272,61.967,0.07192080000000001,-178.5100792
11,349,141.235,-8.471,-192.129,47.628,0.8240903999999999,-10.912909599999981
11,408,-203.328,-11.423,16.963,13.734,0.40822559999999997,-183.6457744
11,409,96.098,-12.992,-102.444,-2.503,0.0133776,-21.82762240000001
11,482,-170.387,-13.004,-17.675,36.973,0.15684479999999998,-163.93615520000003
11,483,-173.983,-12.418,-54.233,63.63,0.0170424,-176.9869576
11,583,91.978,-15.836,-98.547,-112.273,0.010511999999999999,-134.667488
12,340,73.968,-9.439,-64.496,-2.01,0.0,-1.9769999999999985
12,346,-188.298,-12.556,-36.714,60.013,0.0929016,-177.4620984
12,349,141.167,-7.723,-195.886,46.513,0.8828495999999999,-15.046150400000009
12,408,-192.158,-10.335,1.972,18.067,0.6754823999999999,-181.7785176
12,409,96.142,-14.626,-103.48,-1.882,0.011311199999999999,-23.834688800000013
12,482,-175.002,-14.283,-2.472,22.907,0.086832,-168.763168
12,483,-175.359,-8.854,-48.993,62.261,0.05240159999999999,-170.89259840000003
12,583,82.275,-16.191,-87.387,-115.259,0.039168,-136.52283200000002
13,340,75.342,-6.326,-63.858,-2.589,0.0,2.5690000000000084
13,346,-194.993,-12.323,-31.35,59.329,0.1314,-179.20559999999998
13,349,140.386,-4.16,-194.591,47.99,0.6803712,-9.694628800000007
13,408,-192.956,-11.633,10.445,14.547,0.560088,-179.036912
13,409,92.312,-14.152,-102.053,-2.835,0.010511999999999999,-26.717488000000003
13,482,-178.005,-13.932,7.694,17.066,0.1449,-167.03209999999999
13,483,-176.347,-7.647,-48.777,62.375,0.0371088,-170.35889120000002
13,583,85.268,-19.268,-93.867,-109.82,0.008748,-137.67825200000001
14,340,80.577,-8.287,-67.546,-3.655,0.0009576000000000001,1.0899575999999858
14,346,-189.116,-11.01,-52.722,72.13,0.11502,-180.60298000000003
14,349,142.292,-8.914,-167.601,25.298,0.5764463999999999,-8.348553599999986
14,408,-199.322,-10.774,10.303,22.178,0.5284439999999999,-177.086556
14,409,92.857,-14.197,-97.336,-3.471,0.018957599999999998,-22.128042400000002
14,482,-169.007,-14.76,-6.318,29.084,0.1202112,-160.8807888
14,483,-174.763,-10.524,-53.192,70.987,0.0418896,-167.45011040000003
14,583,84.901,-17.246,-84.14,-128.19,0.008604,-144.66639600000002
15,340,81.398,-7.35,-67.282,-3.86,0.0,2.9060000000000055
15,346,-187.774,-10.819,-38.967,56.268,0.064584,-181.227416
15,349,136.24,-6.865,-166.243,24.047,0.5650704,-12.255929599999995
15,408,-206.341,-11.474,13.723,21.023,0.5225544,-182.5464456
15,409,99.075,-13.415,-103.937,-2.25,0.0028656000000000003,-20.5241344
15,482,-168.11,-14.554,-7.862,26.242,0.1412352,-164.1427648
15,483,-173.164,-13.247,-48.944,64.698,0.0308232,-170.62617680000005
15,583,78.483,-15.237,-98.09,-110.863,0.015768,-145.69123199999999
16,340,87.859,-9.27,-71.11,-2.866,0.0,4.6129999999999995
16,346,-192.061,-12.768,-36.409,61.348,0.017603999999999998,-179.87239599999998
16,349,141.199,-7.732,-167.215,19.277,0.8640864,-13.60691359999999
16,408,-197.73,-11.576,9.094,21.166,0.50058,-178.54541999999998
16,409,96.437,-14.727,-101.789,-3.028,0.019908000000000002,-23.087092000000005
16,482,-177.519,-13.961,-4.339,28.355,0.16676639999999998,-167.29723360000003
16,483,-172.839,-13.35,-49.831,61.438,0.0342432,-174.5477568
16,583,83.525,-16.581,-86.887,-116.672,0.029304,-136.585696
17,340,85.515,-8.107,-69.019,-3.739,0.0,4.649999999999996
17,346,-194.204,-11.495,-29.364,52.137,0.0886608,-182.8373392
17,349,137.403,-8.327,-163.134,19.21,0.6322679999999999,-14.215731999999992
17,408,-200.783,-10.937,6.76,23.902,0.5213808,-180.5366192
17,409,96.407,-15.154,-102.305,-1.479,0.014335200000000001,-22.516664800000004
17,482,-172.099,-13.432,-5.62,24.316,0.11247839999999999,-166.7225216
17,483,-175.909,-9.896,-48.788,61.463,0.0208656,-173.10913440000002
17,583,83.208,-18.045,-91.684,-113.339,0.0038232,-139.85617680000001
18,340,74.89,-9.521,-63.896,-1.983,0.0,-0.5100000000000011
18,346,-189.279,-13.206,-36.635,52.447,0.0476856,-186.62531439999998
18,349,138.673,-7.993,-176.098,29.934,0.6751728,-14.808827200000005
18,408,-199.339,-11.083,5.264,23.745,0.49353120000000006,-180.91946879999998
18,409,94.042,-15.969,-101.232,-1.595,0.0066888,-24.74731119999999
18,482,-165.361,-14.167,-20.934,37.544,0.12419279999999999,-162.7938072
18,483,-177.711,-10.669,-47.027,60.211,0.029628,-175.16637200000002
18,583,88.229,-18.83,-89.538,-111.798,0.008920800000000001,-131.9280792
19,340,73.228,-9.561,-60.745,-1.074,0.0,1.847999999999997
19,346,-191.19,-10.98,-26.963,51.093,0.0771408,-177.96285919999997
19,349,140.936,-8.03,-160.1,15.374,0.6584832,-11.161516799999987
19,408,-194.404,-10.618,5.064,19.075,0.5275944,-180.3554056
19,409,99.146,-14.387,-101.253,-2.657,0.0325224,-19.1184776
19,482,-168.664,-12.985,-10.151,28.857,0.13222799999999998,-162.81077200000001
19,483,-172.395,-10.332,-49.176,58.803,0.036316799999999996,-173.0636832
19,583,89.199,-18.356,-92.191,-111.474,0.037259999999999995,-132.78474
20,340,75.589,-7.667,-62.496,-2.951,0.0,2.4749999999999948
20,346,-194.32,-13.414,-27.936,53.684,0.0392976,-181.9467024
